pitcher_id,ti,ta,n,null_ti,null_ta,excess_ti,excess_ta,level
434378,0.5405151378726614,0.5741118654383198,1711,0.5712187086867173,0.5457202738653606,-0.030703570814055947,0.02839159157295923,season_type
445276,0.6499474704412348,0.5765065826746525,609,0.6198421284414348,0.5371764518022527,0.030105341999799973,0.03933013087239978,season_type
445926,0.6194271415063205,0.4528769803275424,20,0.42299608303964026,0.3780230390634409,0.19643105846668024,0.0748539412641015,season_type
448179,0.36008292537754405,0.445440123647196,58,0.35003286829084446,0.5316367767753638,0.010050057086699593,-0.08619665312816782,season_type
450203,0.6902772204878058,0.6112923022169505,1622,0.6874277647774385,0.59305319725685,0.0028494557103673213,0.018239104960100505,season_type
453286,0.6182754627526541,0.6222536892354754,954,0.6531786137341203,0.6134144525446397,-0.034903150981466236,0.00883923669083575,season_type
455119,0.5972403218289632,0.5817653977599406,377,0.6328413867577479,0.5744673382932342,-0.035601064928784676,0.007298059466706475,season_type
458677,0.7860580327651789,0.6211244202461057,502,0.7164756581128008,0.5853903456021619,0.06958237465237815,0.03573407464394385,season_type
471911,0.6610282655015827,0.5786879577968979,425,0.6338052889780745,0.590673263825477,0.027222976523508136,-0.011985306028579168,season_type
472610,0.8072097737971436,0.6304926939543806,595,0.7114665482589351,0.5633370106159621,0.09574322553820858,0.06715568333841848,season_type
477132,0.4597786059804428,0.5355577509492209,1101,0.4157552495758564,0.5129506825835997,0.04402335640458638,0.022607068365621208,season_type
489119,0.5240526366204579,0.4868427245426928,8,0.4790727026731576,0.44878378076523473,0.044979933947300266,0.038058943777458054,season_type
489446,0.8418152510555098,0.6477730309972363,524,0.8006371901559389,0.6267990483234479,0.04117806089957088,0.02097398267378836,season_type
500779,0.7069715200396953,0.6419218256769479,1345,0.6781777024558363,0.616067359396785,0.028793817583859016,0.025854466280162858,season_type
502043,0.6772400141421266,0.6025244962808667,111,0.6364053433776493,0.6441111338352364,0.04083467076447733,-0.041586637554369754,season_type
502085,0.8581141484461114,0.6416456535862464,168,0.8297629338529484,0.5974866152624787,0.028351214593163032,0.04415903832376766,season_type
506433,0.21831480119880706,0.49857642917611794,728,0.2512142783404081,0.4495596528413165,-0.03289947714160105,0.04901677633480145,season_type
518397,0.6137185328624072,0.6062873870204708,180,0.669184556688173,0.5378021901273078,-0.05546602382576582,0.06848519689316301,season_type
518489,0.910015948005886,0.6488686463911473,214,0.8895551067097368,0.6556065408255235,0.020460841296149224,-0.006737894434376224,season_type
518585,0.9648519172419029,0.6287564169554791,521,0.9123275249613129,0.6073922795004338,0.052524392280590027,0.021364137455045284,season_type
518876,0.629976493429859,0.6166060639120308,1881,0.5984785934806198,0.6072100402694977,0.03149789994923913,0.009396023642533113,season_type
518886,0.8456592505311746,0.6443264398544174,136,0.8265192979651603,0.6239503530653545,0.019139952566014307,0.020376086789062886,season_type
519008,0.28641741487618233,0.5585085493406841,153,0.3829184805208894,0.45287573449411317,-0.09650106564470706,0.10563281484657089,season_type
519141,1.0988728575081685,0.6443019673844853,472,0.9482877678419033,0.6046083685503453,0.15058508966626527,0.03969359883414003,season_type
519151,0.49236986929289905,0.6235974003887237,427,0.5001544317228149,0.582697239110671,-0.0077845624299158755,0.04090016127805274,season_type
519242,0.6181673748303704,0.5709197827455973,1284,0.6371363151088265,0.5842284854883566,-0.01896894027845608,-0.013308702742759304,season_type
519326,0.6611379335906463,0.7025183916485827,189,0.654411235594889,0.6821350077307529,0.006726697995757314,0.02038338391782979,season_type
521230,0.8328893373077361,0.6888136857536303,117,0.8591904962397426,0.6778678502235409,-0.026301158932006574,0.010945835530089432,season_type
527048,0.44925186930754757,0.566336789759242,560,0.5148111778570005,0.5180295070949321,-0.06555930854945291,0.048307282664309836,season_type
534910,0.4762082244687023,0.5080560877787144,9,0.4321730157887359,0.4649766363696145,0.04403520867996641,0.043079451409099856,season_type
541640,0.47409483230766014,0.5841221514091933,58,0.5153998294658435,0.5810975168547617,-0.041304997158183365,0.0030246345544315822,season_type
542881,0.6379286354921123,0.6480721373546232,1601,0.6483948655022543,0.6402805505465559,-0.01046623001014202,0.007791586808067352,season_type
542888,0.6451082517689455,0.6081629058515267,703,0.6122072172755303,0.5806977451291562,0.03290103449341519,0.027465160722370485,season_type
543056,0.4772345810620006,0.5187132731339855,424,0.5276074148591902,0.5312952990185733,-0.05037283379718954,-0.012582025884587789,season_type
543101,0.6834796113450267,0.5962521172127879,420,0.6756008334426759,0.5949469229551927,0.007878777902350809,0.0013051942575952324,season_type
543135,0.5366588468736121,0.6447179726270706,1130,0.5798938047395539,0.6256337882568487,-0.04323495786594178,0.019084184370221968,season_type
543243,0.5525439983707873,0.6038979038562672,1663,0.556129348573494,0.5742162250576918,-0.003585350202706783,0.029681678798575417,season_type
543294,0.586596131257911,0.5519149562553568,1670,0.5111113788785545,0.5226023628269274,0.07548475237935648,0.0293125934284294,season_type
543518,0.8990519143403048,0.6691165586309048,185,0.8370583073898515,0.6797860148334947,0.061993606950453306,-0.010669456202589855,season_type
543859,0.6815191267863272,0.6616570459992119,144,0.6770385862960312,0.5908751567203416,0.004480540490296003,0.0707818892788703,season_type
544150,0.5138995561674002,0.5361707416837163,30,0.5167856753068668,0.48305706977414914,-0.0028861191394665697,0.05311367190956712,season_type
547179,0.6861083531612759,0.5902442909097995,1534,0.675424287747022,0.5355549299967898,0.01068406541425393,0.05468936091300969,season_type
547184,0.3299990867211002,0.46699436661589927,399,0.43339643476460077,0.4964714781322514,-0.10339734804350059,-0.029477111516352128,season_type
547973,0.7984455304520279,0.6394770663757515,602,0.7755391774555223,0.6207472755514947,0.022906352996505674,0.018729790824256853,season_type
548384,0.34806458757015246,0.5150926627428905,230,0.36482439291068075,0.5291842579653026,-0.01675980534052829,-0.014091595222412101,season_type
552640,0.9750644372264582,0.6370578279451308,519,0.920362952816809,0.6208779633449611,0.05470148440964917,0.016179864600169624,season_type
554340,0.6536049543121337,0.5790254849187897,209,0.6715632301029001,0.5392130933040042,-0.017958275790766365,0.03981239161478545,season_type
554430,0.851249074917759,0.6962917335676642,1574,0.8178017385859951,0.6878398358860012,0.03344733633176389,0.00845189768166299,season_type
554431,0.5439313787718201,0.6355975097927924,40,0.5836278571315916,0.5610306617953997,-0.039696478359771525,0.07456684799739266,season_type
570632,0.7098789407704509,0.5810868186098019,577,0.6366378747209374,0.5467768835776513,0.07324106604951353,0.03430993503215063,season_type
571510,0.5155982568776825,0.5512332975385512,1830,0.47899270670486055,0.5298576871478812,0.03660555017282191,0.02137561039067004,season_type
571578,0.8093212903493539,0.643942611423548,1773,0.7007642191915084,0.6305168447124497,0.10855707115784541,0.013425766711098297,season_type
571760,0.785769662100369,0.6119566879947231,1249,0.7728042500366231,0.6177588214238807,0.012965412063745907,-0.0058021334291575855,season_type
571927,0.6016601623952975,0.580110051028015,691,0.6062010314749342,0.5958173373738755,-0.004540869079636689,-0.015707286345860494,season_type
571945,0.6036750903439034,0.635144633629066,1576,0.6016124989350591,0.5854503480359162,0.0020625914088443498,0.04969428559314981,season_type
571946,0.812064457160705,0.6954664905079924,471,0.8149750029260561,0.656078430872055,-0.0029105457653511024,0.03938805963593739,season_type
571948,0.29790142738584346,0.4844085342313127,578,0.30671483449912595,0.4675340557527121,-0.00881340711328249,0.016874478478600574,season_type
572955,0.6929595735734783,0.5928799603268308,661,0.722270065952476,0.5641992220128942,-0.029310492378997743,0.028680738313936582,season_type
573009,0.4880457962145577,0.5663359627653831,111,0.445107180261732,0.5174586827010494,0.042938615952825665,0.04887728006433367,season_type
573124,0.028144560468253893,0.41811441661082244,573,0.1105319445585187,0.44017197447437423,-0.0823873840902648,-0.02205755786355179,season_type
573186,0.5495372574654018,0.5964508325425112,408,0.5491174985520986,0.584353116626149,0.00041975891330325865,0.012097715916362217,season_type
573204,0.5612685395561098,0.5976879161811836,540,0.5720765383869425,0.5684561132055798,-0.010807998830832721,0.029231802975603793,season_type
579328,0.5784722227372171,0.5541011424390467,2161,0.6288873412454786,0.5356627814862917,-0.050415118508261525,0.018438360952755084,season_type
592094,0.8463921513358168,0.6454040442377104,749,0.8298162754701734,0.6333802849058805,0.016575875865643352,0.012023759331829864,season_type
592155,0.6280669201967125,0.5910724823628538,358,0.6314382602160583,0.5584619326925965,-0.003371340019345803,0.03261054967025734,season_type
592332,0.8031198381787605,0.6324321024348152,2093,0.7326629633227201,0.6194474054079518,0.07045687485604046,0.012984697026863334,season_type
592351,0.8312273213159614,0.6658238915283422,118,0.7373569567985864,0.5888673845096328,0.09387036451737507,0.07695650701870937,season_type
592426,0.6862566955118947,0.6273249249508299,464,0.6709366669652378,0.5999727937852206,0.015320028546656927,0.027352131165609306,season_type
592454,0.5701527582547324,0.5677706088441027,675,0.5977238187456072,0.5315055538549779,-0.027571060490874766,0.0362650549891248,season_type
592662,0.7297019262671343,0.6222137132549481,1866,0.736209058751942,0.6038459967467675,-0.0065071324848077206,0.018367716508180587,season_type
592773,0.8568155061226332,0.5888621673942569,635,0.7669115639440824,0.5680202093758894,0.0899039421785508,0.020841958018367523,season_type
592779,0.8555845774884292,0.6974730965508665,393,0.8096916786089368,0.6538175234949942,0.04589289887949244,0.04365557305587231,season_type
592791,0.6526823334326105,0.630719217204918,1331,0.6439744252668058,0.5936704005165178,0.00870790816580469,0.03704881668840021,season_type
592836,0.6504289127715754,0.6271342047083579,1175,0.6313501200313574,0.6022345325732483,0.019078792740218065,0.024899672135109574,season_type
592866,0.8303328733543061,0.6990157823286202,934,0.7984901787486275,0.6858377565853736,0.03184269460567857,0.013178025743246558,season_type
593423,0.8217382934645219,0.657852902547552,486,0.8066472417203978,0.6463733990064934,0.015091051744124062,0.011479503541058644,season_type
593576,0.8334619275835408,0.6305513317762734,342,0.7099741548158426,0.5841326242175257,0.12348777276769818,0.046418707558747774,season_type
593833,0.5973726179562211,0.5680939803174647,77,0.619853577187261,0.5599112357773455,-0.022480959231039876,0.008182744540119247,season_type
593958,0.6766233170210572,0.619765704613906,1677,0.6509181169831512,0.602578110288929,0.025705200037905995,0.017187594324976962,season_type
593974,0.5585518174312492,0.5297431283176858,590,0.5751244844397134,0.5131831145877934,-0.01657266700846427,0.016560013729892353,season_type
594580,0.570461144656027,0.5670306974523472,205,0.558966601321896,0.5469797216256268,0.011494543334131024,0.02005097582672044,season_type
594798,0.8441888505010992,0.6827077955191484,1468,0.761488706154239,0.6605828695398783,0.08270014434686013,0.02212492597927007,season_type
594902,0.5337076303175362,0.6101355217353703,410,0.5595705461447561,0.6048546577515704,-0.02586291582721989,0.005280863983799899,season_type
595014,0.961837714560956,0.6180492027162531,379,0.819561468039565,0.6424124499526199,0.14227624652139104,-0.024363247236366847,season_type
595345,0.6370017860263867,0.584151051323672,704,0.6589470785098495,0.5789884942890257,-0.021945292483462775,0.005162557034646298,season_type
595928,0.5548727569552919,0.6017049459243201,368,0.619993088706213,0.5738339599952643,-0.06512033175092102,0.02787098592905579,season_type
596001,0.4425133769506066,0.599787445533923,551,0.4851067700139864,0.5335545225968281,-0.04259339306337978,0.06623292293709493,season_type
596112,0.5405048461858292,0.5422925744113966,60,0.5540917389853182,0.4996609981607253,-0.013586892799488992,0.042631576250671266,season_type
596133,0.8963571565439293,0.6391219877063452,664,0.8477011506143733,0.6241403975303352,0.04865600592955599,0.014981590176009973,season_type
596271,0.6324130862017269,0.5982442975054784,126,0.6641680324930546,0.6085496224940828,-0.03175494629132769,-0.01030532498860448,season_type
596295,0.3748497908242575,0.5611341281947109,621,0.4564964197051095,0.5413411440715302,-0.081646628880852,0.019792984123180646,season_type
600917,0.8222448296425574,0.6616718793245193,103,0.7887240531462619,0.6072115859071384,0.03352077649629548,0.0544602934173809,season_type
