pitcher_id,pitcher,n,intent_share,actual_share,designed_share,accidental_share,conversion,acc_given_actual
434378,Justin Verlander,992.0,0.2852822580645161,0.38306451612903225,0.15725806451612903,0.22580645161290322,0.5512367491166078,0.5894736842105263
450203,Charlie Morton,1134.0,0.3747795414462081,0.400352733686067,0.2054673721340388,0.1948853615520282,0.548235294117647,0.486784140969163
453286,Max Scherzer,690.0,0.2782608695652174,0.41304347826086957,0.14492753623188406,0.26811594202898553,0.5208333333333334,0.6491228070175439
477132,Clayton Kershaw,802.0,0.29925187032418954,0.3054862842892768,0.10099750623441396,0.20448877805486285,0.3375,0.6693877551020408
500779,Jose Quintana,931.0,0.3233082706766917,0.3727175080558539,0.16648764769065522,0.20622986036519872,0.5149501661129569,0.553314121037464
506433,Yu Darvish,559.0,0.12880143112701253,0.27549194991055453,0.0518783542039356,0.22361359570661896,0.4027777777777778,0.8116883116883117
518876,Merrill Kelly,1453.0,0.32415691672401925,0.3496214728148658,0.17894012388162422,0.17068134893324158,0.5520169851380042,0.4881889763779528
519242,Chris Sale,637.0,0.25274725274725274,0.3783359497645212,0.130298273155416,0.24803767660910517,0.515527950310559,0.6556016597510373
527048,Martín Pérez,425.0,0.08470588235294117,0.1976470588235294,0.04941176470588235,0.14823529411764705,0.5833333333333334,0.75
542881,Tyler Anderson,1123.0,0.40872662511130897,0.41050756901157615,0.20837043633125557,0.20213713268032057,0.5098039215686274,0.4924078091106291
542888,Shawn Armstrong,572.0,0.2534965034965035,0.2937062937062937,0.1346153846153846,0.1590909090909091,0.5310344827586206,0.5416666666666666
543135,Nathan Eovaldi,914.0,0.3336980306345733,0.3949671772428884,0.18708971553610504,0.20787746170678337,0.5606557377049181,0.5263157894736842
543243,Sonny Gray,1294.0,0.2604327666151468,0.366306027820711,0.14142194744976816,0.22488408037094282,0.543026706231454,0.6139240506329114
543294,Kyle Hendricks,1067.0,0.11527647610121837,0.17432052483598875,0.03748828491096532,0.13683223992502344,0.3252032520325203,0.7849462365591398
547179,Michael Lorenzen,1275.0,0.3380392156862745,0.3411764705882353,0.156078431372549,0.18509803921568627,0.4617169373549884,0.542528735632184
554430,Zack Wheeler,1131.0,0.4332449160035367,0.4562334217506631,0.2696728558797524,0.1865605658709107,0.6224489795918368,0.40891472868217055
571510,Matthew Boyd,1309.0,0.2849503437738732,0.33689839572192515,0.12299465240641712,0.21390374331550802,0.4316353887399464,0.6349206349206349
571578,Patrick Corbin,1432.0,0.3743016759776536,0.35824022346368717,0.1941340782122905,0.16410614525139663,0.5186567164179104,0.4580896686159844
571760,Andrew Heaney,794.0,0.5088161209068011,0.380352644836272,0.25566750629722923,0.12468513853904283,0.5024752475247525,0.32781456953642385
571927,Steven Matz,408.0,0.33578431372549017,0.39705882352941174,0.1642156862745098,0.23284313725490197,0.48905109489051096,0.5864197530864198
571945,Miles Mikolas,1394.0,0.25538020086083213,0.35294117647058826,0.15208034433285508,0.20086083213773315,0.5955056179775281,0.5691056910569106
571948,Hoby Milner,444.0,0.08108108108108109,0.22522522522522523,0.0472972972972973,0.17792792792792791,0.5833333333333334,0.79
579328,Yusei Kikuchi,1318.0,0.37177541729893776,0.334597875569044,0.1449165402124431,0.18968133535660092,0.38979591836734695,0.5668934240362812
592094,Jason Adam,480.0,0.55,0.44166666666666665,0.29791666666666666,0.14375,0.5416666666666666,0.32547169811320753
592332,Kevin Gausman,999.0,0.5285285285285285,0.4004004004004004,0.2172172172172172,0.1831831831831832,0.4109848484848485,0.4575
592662,Robbie Ray,991.0,0.3622603430877901,0.35822401614530774,0.1856710393541877,0.17255297679112008,0.5125348189415042,0.48169014084507045
592791,Jameson Taillon,1016.0,0.3799212598425197,0.4281496062992126,0.2372047244094488,0.19094488188976377,0.6243523316062176,0.4459770114942529
592836,Taijuan Walker,914.0,0.35120350109409193,0.34573304157549234,0.16411378555798686,0.18161925601750548,0.4672897196261682,0.5253164556962026
592866,Trevor Williams,582.0,0.42439862542955326,0.46563573883161513,0.2611683848797251,0.20446735395189003,0.6153846153846154,0.43911439114391143
593958,Eduardo Rodriguez,1033.0,0.2526621490803485,0.3281703775411423,0.13649564375605033,0.19167473378509198,0.5402298850574713,0.584070796460177
594798,Jacob deGrom,923.0,0.6522210184182016,0.5373781148429035,0.41170097508125675,0.1256771397616468,0.6312292358803987,0.23387096774193547
