pitcher_id,ti,ta,ti40,ta40,n,null_ti,excess_ti,null_ta,excess_ta,null_ti40,excess_ti40,null_ta40,excess_ta40,level
434378,0.5429193170664891,0.5787744264535529,0.9800404360715042,1.1683783602616489,1588,0.5680949335585209,-0.025175616492031816,0.5761058468570404,0.002668579596512566,0.9881114938799358,-0.008071057808431648,1.134709961560799,0.03366839870084992,pa_any
445276,0.6533650551237601,0.5823010533443194,0.9980286318522678,1.1914097535347825,563,0.6271701104637587,0.026194944660001385,0.5587536703188812,0.02354738302543813,0.9688150041190383,0.02921362773322944,1.133659173715227,0.05775057981955545,pa_any
445926,0.6441618702489293,0.49287364307212245,0.8349883198846098,1.10844311443601,16,0.4608683235032127,0.18329354674571663,0.3504969252425518,0.14237671782957062,0.8942098624832187,-0.0592215425986089,0.8778586970297821,0.23058441740622793,pa_any
448179,0.3952149005701036,0.46928050738441807,0.8799327762522574,0.9531017483488632,56,0.3077079780699412,0.0875069225001624,0.538722883635911,-0.06944237625149297,0.7263800124238625,0.1535527638283949,0.9878414632706237,-0.034739714921760534,pa_any
450203,0.6992780242680837,0.6229844158955785,1.0233565293958162,1.1797761129995674,1518,0.6588441863737468,0.040433837894336966,0.5981782747860663,0.02480614110951218,0.9817472740416625,0.04160925535415372,1.1700300272362714,0.009746085763296053,pa_any
453286,0.6238829054125201,0.6330169504459616,1.1394129484339814,1.2556314441908027,901,0.5942091852382376,0.029673720174282492,0.6078201938983984,0.02519675654756326,1.0989659365580595,0.04044701187592192,1.2078061525303396,0.04782529166046312,pa_any
455119,0.5899088578370193,0.5808079816994538,1.1338960404903715,1.2137398326875994,353,0.5749202391284483,0.014988618708571044,0.5650977462887004,0.015710235410753448,1.130044494682074,0.0038515458082974963,1.182404212604988,0.03133562008261137,pa_any
458677,0.787059626864316,0.6273891061177556,1.3174129886243366,1.3073626317828682,477,0.8011299718805549,-0.014070345016238939,0.6204024731659703,0.006986632951785254,1.3237951260244651,-0.006382137400128496,1.2551791496982851,0.05218348208458301,pa_any
471911,0.6559180159522199,0.5796296024990253,1.1945485855929527,1.2707923006041648,379,0.626792475072768,0.02912554087945185,0.5823752631381919,-0.0027456606391665916,1.1637053165040725,0.030843269088880243,1.2411546686162462,0.029637631987918578,pa_any
472610,0.8215830731125777,0.639793236564582,1.0454194134930512,1.2176257681680012,561,0.7870896208978153,0.03449345221476241,0.604262843341963,0.03553039322261897,1.0307695802782428,0.014649833214808394,1.1781367559831666,0.03948901218483458,pa_any
477132,0.46553291024347815,0.5473141229597756,0.9192911278958537,1.0980131680853327,1020,0.4736394689294219,-0.008106558685943732,0.542327093573888,0.004987029385887576,0.9495014274894942,-0.03021029959364052,1.097728268382758,0.0002848997025746147,pa_any
489119,0.5180802912023832,0.467531460269373,1.1643295043637587,1.1022522451469887,5,0.5172763135677757,0.0008039776346074889,0.48811132853009165,-0.02057986826071867,1.1768042793413123,-0.01247477497755356,1.142143239408587,-0.03989099426159837,pa_any
489446,0.8380389108649017,0.6450832342935708,1.5514169863686829,1.3589398042341045,507,0.8575989435688686,-0.01956003270396689,0.6164512967104291,0.028631937583141753,1.5857274936660009,-0.034310507297317994,1.3304621839877628,0.028477620246341706,pa_any
500779,0.7038528281870403,0.6403836755033002,1.2371585103891727,1.2861263302708525,1249,0.6813807280566845,0.022472100130355832,0.6164001464885267,0.02398352901477352,1.2277307600308454,0.009427750358327325,1.2528205021637226,0.0333058281071299,pa_any
502043,0.6333810751186262,0.5553125548069792,1.1774242368181944,1.2493553329736065,105,0.6155850871845514,0.017795987934074775,0.6180881747400634,-0.06277561993308423,1.1499859296358792,0.027438307182315214,1.271745509026941,-0.022390176053334487,pa_any
502085,0.8669418906163043,0.6380266380993402,1.0942919043713577,1.2574079114141905,157,0.8672457969088627,-0.00030390629255838686,0.61054797297741,0.0274786651219302,1.0959938190390255,-0.001701914667667781,1.2101183307911958,0.04728958062299471,pa_any
506433,0.2198908686997166,0.5013274429607696,0.4873646568945764,0.9638470448343697,682,0.17741351660219415,0.04247735209752246,0.4803613699199727,0.020966073040796895,0.3977836359292622,0.08958102096531423,0.9319231077874859,0.03192393704688379,pa_any
518397,0.6151308155606605,0.605437394250289,1.0287845255980712,1.2894028259133965,169,0.6034001212652211,0.011730694295439381,0.5778791923145453,0.027558201935743654,1.011740077954522,0.017044447643549177,1.2240133199965617,0.06538950591683479,pa_any
518489,0.9137802018789399,0.6692066461574689,1.604608067024197,1.4010789788917033,197,0.9730060233110767,-0.05922582143213673,0.6764962548810884,-0.007289608723619501,1.6291944743755962,-0.024586407351399275,1.3396940906187411,0.06138488827296218,pa_any
518585,0.9666030359648743,0.6293963453660837,1.3151846778004033,1.3091114716485304,493,0.9604258888379443,0.0061771471269299605,0.6399486448857246,-0.010552299519640873,1.2933765079584993,0.021808169841903924,1.2981751861569704,0.010936285491560005,pa_any
518876,0.6394583215083888,0.6284938504259191,1.129036257837156,1.2329788112222433,1734,0.6102430848847299,0.02921523662365888,0.6031249543008833,0.02536889612503579,1.0710615170737694,0.0579747407633866,1.198571527994354,0.03440728322788922,pa_any
518886,0.8598738297289896,0.6390714816137062,1.244859075693527,1.2308300913476586,136,0.947262354828408,-0.08738852509941841,0.647985527449969,-0.008914045836262763,1.3007931855540094,-0.05593410986048242,1.2744498832875784,-0.043619791939919716,pa_any
519008,0.33360501071235465,0.5688032823715969,0.7264004589202221,1.0937068879808385,134,0.3274868677244966,0.006118142987858066,0.47542734468481707,0.09337593768677988,0.6908129477963104,0.035587511123911675,0.9400566354812162,0.15365025249962228,pa_any
519141,1.0894162013906192,0.6361765701402011,1.27250654042085,1.2836866397591165,442,1.0093305620683717,0.08008563932224755,0.6281488828790074,0.008027687261193739,1.2416391729353005,0.030867367485549524,1.2449914868904473,0.0386951528686692,pa_any
519151,0.4987956400430637,0.6459527613438661,0.7949105117170049,1.1751428997851534,399,0.5061513549510456,-0.0073557149079818696,0.5868059062579184,0.05914685508594775,0.859978369561117,-0.06506785784411206,1.1330680574676866,0.04207484231746683,pa_any
519242,0.6314560342057579,0.5662920887831671,1.0673709276320869,1.1663346796960636,1216,0.6689049439702286,-0.037448909764470684,0.6030098631303181,-0.036717774347151066,1.069799738527572,-0.0024288108954850784,1.186402594237927,-0.020067914541863408,pa_any
519326,0.6720744529487365,0.6932089586952284,0.9680609889146077,1.233216004931916,182,0.6609102952944926,0.011164157654243834,0.6387545638492245,0.054454394846003895,0.9567745414434902,0.011286447471117511,1.1983855576470592,0.03483044728485685,pa_any
521230,0.8197200038052425,0.6831130458478838,1.5618454530054575,1.3633606803542853,113,0.8681523914709841,-0.04843238766574165,0.7022953543939131,-0.019182308546029314,1.5775987946573828,-0.015753341651925323,1.4696262486178486,-0.10626556826356337,pa_any
527048,0.4478111288816769,0.5678874833825904,0.9614880621689188,1.1164993081313916,519,0.44927677665848825,-0.0014656477768113518,0.5352430017519917,0.03264448163059874,0.9488000948758076,0.012687967293111169,1.0844056688677708,0.032093639263620855,pa_any
