checkpoint  sep_actual_med  sep_intent_med  plate_sep_actual_med  plate_sep_intent_med  corr(ts_intent,ts_actual)  corr(sep_intent,sep_actual)
       y50           2.583           1.540                16.811                 8.053                      0.306                        0.582
       y45           3.754           2.071                16.811                 8.053                      0.305                        0.485
       y40           4.976           2.542                16.811                 8.053                      0.289                        0.402
       y35           6.225           2.966                16.811                 8.053                      0.270                        0.331
       y30           7.505           3.354                16.811                 8.053                      0.251                        0.271
       y25           8.832           3.723                16.811                 8.053                      0.231                        0.225
     y23.8           9.155           3.812                16.811                 8.053                      0.225                        0.216
       y20          10.234           4.118                16.811                 8.053                      0.207                        0.199
       y15          11.754           4.618                16.811                 8.053                      0.176                        0.198
       y10          13.432           5.410                16.811                 8.053                      0.142                        0.220
        y5          15.314           6.717                16.811                 8.053                      0.105                        0.260
