pitcher_id,ti_1,ta_1,ti40_1,ta40_1,n_1,null_ti_1,excess_ti_1,null_ta_1,excess_ta_1,null_ti40_1,excess_ti40_1,null_ta40_1,excess_ta40_1,level_1,ti_2,ta_2,ti40_2,ta40_2,n_2,null_ti_2,excess_ti_2,null_ta_2,excess_ta_2,null_ti40_2,excess_ti40_2,null_ta40_2,excess_ta40_2,level_2
657571,0.915976,0.6418086,1.398847,1.3068577,253,0.9191921,-0.0032160878,0.6380193,0.0037893057,1.418797,-0.019950032,1.2458775,0.0609802,game_type,0.8268742,0.622311,1.1830912,1.2720226,239,0.83303636,-0.0061621666,0.59904003,0.023270965,1.1978416,-0.014750481,1.2299062,0.042116404,game_type
657585,0.69401973,0.54676026,1.1558036,1.0811454,212,0.6838398,0.010179937,0.5509953,-0.004235029,1.1455154,0.010288119,1.1021751,-0.02102971,game_type,0.6692027,0.55911386,1.0510017,1.1650119,184,0.66229486,0.0069078207,0.6248837,-0.06576985,1.0728451,-0.021843433,1.1983027,-0.033290863,game_type
657612,0.5179812,0.52257454,1.110159,1.1602062,50,0.50634927,0.011631906,0.5101584,0.012416124,1.0550079,0.055151105,1.1181402,0.042065978,game_type,0.50096697,0.5302701,1.0075235,1.1316243,78,0.51998997,-0.019023001,0.55250853,-0.022238433,1.0573466,-0.049823046,1.1650045,-0.03338015,game_type
657649,0.41360214,0.50221467,0.6719129,0.97563803,202,0.40449628,0.009105861,0.4861946,0.01602006,0.67666376,-0.004750848,0.9186537,0.056984305,game_type,0.3141634,0.50351626,0.56972826,0.9068683,220,0.34731552,-0.033152133,0.50357544,-5.9187412e-05,0.58436185,-0.014633596,0.9110442,-0.0041759014,game_type
657746,0.60878766,0.60197794,1.1252275,1.2256838,720,0.64062387,-0.03183621,0.5799543,0.022023618,1.1732341,-0.048006654,1.1666498,0.05903399,game_type,0.6394678,0.64783716,1.2338712,1.3042179,822,0.6448196,-0.0053518414,0.6324123,0.015424848,1.2517997,-0.017928481,1.2706804,0.033537507,game_type
657756,0.80619895,0.65053815,1.3916276,1.2843212,20,0.78116345,0.0250355,0.60107034,0.049467802,1.4279286,-0.036301017,1.2702106,0.014110565,game_type,0.63811094,0.5593423,1.2093053,1.266626,37,0.58434457,0.05376637,0.5624655,-0.0031231642,1.1670346,0.04227066,1.2461135,0.020512462,game_type
660271,0.5133548,0.6006351,0.6103602,1.0302292,331,0.5171326,-0.003777802,0.63605386,-0.03541875,0.630604,-0.020243824,1.0554707,-0.025241494,game_type,0.5538209,0.5350003,0.8235556,1.102704,121,0.47378784,0.080033064,0.5154418,0.019558549,0.803833,0.01972258,1.0519509,0.050753117,game_type
660730,0.52364457,0.4475278,0.85671395,1.0632625,53,0.5641798,-0.04053521,0.5581584,-0.1106306,0.9183011,-0.061587155,1.0562254,0.0070370436,game_type,0.5531132,0.59162384,1.2704902,1.4399393,19,0.5540298,-0.0009166002,0.51092315,0.080700696,1.2615237,0.008966446,1.1248959,0.31504333,game_type
660761,0.79281336,0.7020718,1.3820747,1.3984461,28,0.8433304,-0.050517023,0.6015484,0.10052341,1.486031,-0.10395634,1.2786765,0.11976957,game_type,0.82119197,0.6471949,1.2957361,1.2497236,120,0.7936837,0.027508259,0.5864732,0.060721695,1.280232,0.015504122,1.2141668,0.035556793,game_type
660787,0.7444873,0.58773947,1.3412192,1.2436665,131,0.7305492,0.013938069,0.5902557,-0.00251621,1.3314118,0.009807348,1.2137234,0.029943109,game_type,0.8336168,0.60885847,1.3456415,1.230238,132,0.7993453,0.03427148,0.59595954,0.012898922,1.3708187,-0.02517724,1.2510886,-0.020850658,game_type
660825,0.3217749,0.44988593,0.6462521,0.8442423,302,0.32917306,-0.0073981583,0.46580136,-0.015915424,0.64994985,-0.003697753,0.8701076,-0.025865316,game_type,0.49262172,0.4185192,0.7353552,0.82308036,361,0.5204002,-0.027778506,0.46208534,-0.043566138,0.78738517,-0.052029967,0.84716827,-0.024087906,game_type
660853,0.6819576,0.6396985,1.3717967,1.3185979,329,0.67710173,0.004855871,0.609273,0.030425489,1.3776047,-0.005807996,1.3017305,0.0168674,game_type,0.66850835,0.6135817,1.359486,1.2996656,343,0.6740699,-0.0055615306,0.59865004,0.014931679,1.3593698,0.00011622906,1.2694921,0.03017342,game_type
660896,0.7385454,0.5383066,1.0284796,1.1434143,264,0.7118624,0.026683033,0.5574028,-0.019096196,1.0210071,0.007472515,1.1233984,0.020015836,game_type,0.63375604,0.6036524,0.96921813,1.2105606,262,0.6232406,0.010515451,0.56748307,0.03616935,0.97793114,-0.008713007,1.1634444,0.04711616,game_type
661395,0.73488146,0.65594393,1.2673607,1.3393928,255,0.73746324,-0.0025817752,0.6291052,0.02683872,1.299826,-0.03246534,1.3001801,0.039212704,game_type,0.7787375,0.62347203,1.3368787,1.3108377,251,0.73434603,0.044391453,0.5959701,0.02750194,1.3079114,0.028967261,1.2396046,0.07123315,game_type
661403,0.6232093,0.611726,1.1809398,1.2811676,220,0.6310784,-0.007869124,0.51321924,0.09850675,1.2246202,-0.04368043,1.1471279,0.13403976,game_type,0.59047383,0.57199085,1.1816168,1.2641178,212,0.5978697,-0.0073958635,0.5785226,-0.006531775,1.1983026,-0.016685843,1.2408147,0.023303151,game_type
661527,0.49142253,0.5283507,0.88489306,1.1576946,15,0.5090634,-0.017640889,0.58957,-0.061219275,0.8828224,0.0020706654,1.1715045,-0.013809919,game_type,0.4519539,0.6637534,0.78710085,1.1018212,10,0.27098972,0.18096417,0.4397817,0.2239717,0.56709343,0.22000742,1.0698358,0.031985402,game_type
661563,0.6080693,0.534815,0.9245082,1.1249132,265,0.6122972,-0.0042278767,0.5499485,-0.0151335,0.96339273,-0.03888452,1.1261704,-0.0012571812,game_type,0.5501202,0.55269563,0.8626327,1.1451406,310,0.58960146,-0.039481282,0.5530926,-0.00039696693,0.9170303,-0.054397583,1.1385175,0.006623149,game_type
662253,0.7383727,0.5535229,1.2669303,1.2140142,313,0.71397185,0.02440083,0.56921583,-0.01569295,1.2261275,0.040802836,1.2301873,-0.016173124,game_type,0.67707235,0.5735107,1.2279882,1.2470131,282,0.6893251,-0.012252748,0.5853952,-0.0118845105,1.2328568,-0.0048685074,1.2584233,-0.011410236,game_type
663158,0.62536055,0.5901771,1.2679197,1.2817054,324,0.6427331,-0.017372549,0.5751291,0.015048027,1.3148197,-0.046900034,1.2546619,0.027043462,game_type,0.62585896,0.588989,1.287833,1.2906001,283,0.62295604,0.002902925,0.6006168,-0.011627793,1.3022085,-0.014375567,1.2852598,0.0053402185,game_type
663321,0.65995276,0.5313506,0.75949144,1.1139692,38,0.6235119,0.03644085,0.5311911,0.00015950203,0.8502874,-0.090795934,1.0890967,0.024872541,game_type,0.68055433,0.6325861,0.9151049,1.1185635,74,0.6825114,-0.001957059,0.6108755,0.021710634,0.93961143,-0.02450651,1.1712075,-0.052644014,game_type
663372,0.8206096,0.57435936,1.4825357,1.2411537,96,0.8565474,-0.035937786,0.6327259,-0.058366537,1.5239159,-0.041380167,1.3122898,-0.07113612,game_type,0.71479195,0.61213857,1.3935239,1.3012388,136,0.78722465,-0.0724327,0.61770064,-0.005562067,1.4463457,-0.052821755,1.297897,0.003341794,game_type
663399,0.6347274,0.6229867,0.91803443,1.1281856,171,0.63592434,-0.0011969209,0.59384143,0.02914524,0.92232203,-0.0042876005,1.1165917,0.011593938,game_type,0.66550463,0.64748627,1.2439752,1.2455512,101,0.6936383,-0.02813369,0.5912973,0.05618894,1.2910392,-0.047064066,1.208133,0.037418246,game_type
663423,0.38524982,0.527878,0.61143744,0.99756587,189,0.38112396,0.0041258633,0.5625398,-0.03466183,0.66228,-0.050842583,0.98153734,0.016028523,game_type,0.43102357,0.6050826,0.81775296,1.1488829,91,0.48526832,-0.054244757,0.58056825,0.024514318,0.8854116,-0.06765866,1.1127677,0.03611517,game_type
663432,0.9688338,0.6730738,1.4389619,1.333633,72,0.9830188,-0.014185011,0.6214526,0.0516212,1.4125507,0.026411176,1.3107735,0.022859454,game_type,0.92337656,0.7359202,1.5678251,1.4535393,57,0.9141767,0.009199858,0.66667783,0.06924236,1.558652,0.009173036,1.3838266,0.06971264,game_type
663436,0.8267861,0.6723159,1.4679166,1.3783568,752,0.80716467,0.019621432,0.66189444,0.010421455,1.4662857,0.0016309023,1.3524524,0.025904417,game_type,0.85110044,0.6602639,1.4269171,1.3317343,665,0.8310339,0.02006656,0.6371457,0.023118198,1.4281666,-0.0012495518,1.3203315,0.011402845,game_type
663455,0.764635,0.57841706,1.2470211,1.2520375,136,0.6711883,0.09344673,0.57161385,0.0068032146,1.1727005,0.074320555,1.1974039,0.054633617,game_type,0.84970903,0.629636,1.2644721,1.3098404,152,0.79275954,0.056949496,0.63064283,-0.0010068417,1.2406242,0.023847938,1.3066672,0.003173232,game_type
663460,0.65449303,0.635436,1.0820923,1.2699658,547,0.6670748,-0.012581766,0.6182666,0.017169416,1.1058218,-0.023729563,1.2632121,0.006753683,game_type,0.7452096,0.6028467,1.178711,1.2078575,512,0.7261263,0.019083261,0.58508986,0.01775682,1.1776177,0.0010933876,1.1938576,0.013999939,game_type
663462,0.41591448,0.4945039,0.8434718,1.1155937,5,0.49936745,-0.08345297,0.4534958,0.041008085,0.97647077,-0.13299894,1.0899428,0.025650859,game_type,0.52699006,0.4829885,1.1687617,1.1116742,6,0.523361,0.0036290288,0.4812531,0.001735419,1.0927955,0.07596624,1.1444741,-0.03279996,game_type
663465,0.6086652,0.6266611,0.94131696,1.2234635,264,0.6525912,-0.043926,0.58816165,0.038499475,1.0025163,-0.061199307,1.1677008,0.055762768,game_type,0.48487037,0.6073756,0.7741421,1.1580698,305,0.53235227,-0.047481894,0.58265764,0.024717987,0.87401617,-0.09987408,1.1165257,0.0415442,game_type
663474,0.46353713,0.5233147,0.93235487,1.2375338,24,0.48760772,-0.02407059,0.5341776,-0.010862887,1.0485781,-0.116223276,1.2385656,-0.0010317564,game_type,0.48311204,0.57511735,0.97231215,1.3072581,38,0.52690405,-0.04379201,0.53106177,0.04405558,1.1512676,-0.1789555,1.2540838,0.053174376,game_type
663485,0.8710841,0.5821789,1.2959466,1.2321154,234,0.88438123,-0.013297141,0.585878,-0.0036991239,1.3162167,-0.02027011,1.1638464,0.068269014,game_type,0.67898077,0.59323514,1.1814206,1.2367065,209,0.6785941,0.00038665533,0.59786195,-0.0046268106,1.179329,0.002091527,1.2412066,-0.0045001507,game_type
663542,0.66458416,0.68438333,1.0639067,1.2586992,106,0.6747192,-0.010135055,0.6679208,0.016462505,1.0449052,0.019001484,1.2638702,-0.0051710606,game_type,0.47694567,0.55654573,0.9898199,1.1731511,56,0.44720325,0.02974242,0.60877645,-0.052230716,0.9972498,-0.007429898,1.1744283,-0.0012772083,game_type
663546,0.65404564,0.6026025,1.0960932,1.2754176,51,0.6619014,-0.007855773,0.5603157,0.042286754,1.2283835,-0.13229036,1.1722971,0.103120446,game_type,0.6353781,0.5744476,1.0868906,1.2256553,95,0.6653526,-0.02997446,0.5702297,0.004217863,1.1785331,-0.0916425,1.179422,0.046233296,game_type
663554,0.7092257,0.5973946,1.1891291,1.196523,692,0.7264221,-0.017196357,0.5885896,0.008804977,1.2082833,-0.019154191,1.168162,0.028360963,game_type,0.7196585,0.6591042,1.150932,1.2475444,710,0.7370746,-0.01741612,0.60999197,0.04911226,1.1871852,-0.036253214,1.2022862,0.045258164,game_type
663559,0.7736093,0.5488108,1.1612362,1.2249393,608,0.7518206,0.021788657,0.5806917,-0.031880915,1.1864631,-0.02522695,1.2433143,-0.01837492,game_type,0.72998047,0.57751966,1.094075,1.2304528,668,0.7131669,0.016813576,0.57795024,-0.00043058395,1.0844687,0.009606242,1.216545,0.01390779,game_type
