pair_type,ti_1,ta_1,ti40_1,ta40_1,n_1,null_ti_1,excess_ti_1,null_ta_1,excess_ta_1,null_ti40_1,excess_ti40_1,null_ta40_1,excess_ta40_1,level_1,ti_2,ta_2,ti40_2,ta40_2,n_2,null_ti_2,excess_ti_2,null_ta_2,excess_ta_2,null_ti40_2,excess_ti40_2,null_ta40_2,excess_ta40_2,level_2
ST>CH,0.3650971,0.5898898,0.49200436,1.044408,997,0.41336602,-0.048268914,0.5548477,0.035042107,0.54077697,-0.048772603,0.9924192,0.05198878,game_type,0.32258624,0.5459963,0.46075344,0.96236557,1057,0.35874555,-0.036159307,0.5298972,0.016099095,0.5054152,-0.04466176,0.9717501,-0.009384513,game_type
ST>CU,0.30261937,0.5614925,0.19307771,0.9370112,290,0.37977254,-0.077153176,0.5325377,0.028954804,0.31605485,-0.12297714,0.87329274,0.06371844,game_type,0.3616933,0.56033045,0.32807863,0.99645466,340,0.30753586,0.054157436,0.5214142,0.03891623,0.34429622,-0.01621759,0.93748474,0.058969915,game_type
ST>FC,0.5908672,0.5774941,0.8825035,1.1492531,880,0.59514326,-0.004276037,0.55285364,0.024640441,0.9319782,-0.049474716,1.1275259,0.021727204,game_type,0.6015148,0.5835736,0.8461673,1.1543831,874,0.5951536,0.0063611865,0.5574741,0.026099503,0.8742401,-0.028072774,1.1263734,0.028009653,game_type
ST>FF,0.76181924,0.6638659,0.88102806,1.1045023,3727,0.7362293,0.025589943,0.6254877,0.03837824,0.83204246,0.0489856,1.0545683,0.04993403,game_type,0.73140365,0.6544899,0.834376,1.0906903,3952,0.7033159,0.028087735,0.6120696,0.042420268,0.783963,0.050412953,1.0339913,0.05669892,game_type
ST>FS,0.4714769,0.56807816,0.6974471,1.0121624,215,0.47441757,-0.0029406548,0.5671747,0.0009034872,0.7019596,-0.004512489,1.0165639,-0.0044014454,game_type,0.47470754,0.6027636,0.6993163,1.1165656,323,0.46194333,0.0127642155,0.5797707,0.022992909,0.7038109,-0.004494548,1.1011763,0.015389323,game_type
ST>KC,0.8909839,0.660453,1.0059199,1.2164752,81,0.761543,0.1294409,0.60676116,0.053691864,0.9433676,0.06255233,1.1388651,0.077610135,game_type,0.72563267,0.55762655,0.91128695,1.0645894,79,0.6733401,0.052292585,0.60469717,-0.047070622,0.9781052,-0.06681824,1.1305944,-0.06600499,game_type
ST>SI,0.50429827,0.59693164,0.5252677,1.0102956,2802,0.6023867,-0.09808844,0.62937176,-0.032440126,0.6308142,-0.105546474,1.053847,-0.043551326,game_type,0.5368918,0.613779,0.52033764,1.0271326,3006,0.60100603,-0.06411421,0.62476736,-0.010988355,0.5908534,-0.07051575,1.0473553,-0.020222664,game_type
ST>SL,0.19514085,0.46895802,0.42271373,0.9856337,561,0.22280149,-0.027660638,0.48186737,-0.012909353,0.47736633,-0.0546526,1.0031921,-0.017558396,game_type,0.2425139,0.5041335,0.47076276,1.07013,589,0.27954605,-0.037032157,0.51093477,-0.0068012476,0.5568632,-0.08610043,1.0774486,-0.007318616,game_type
ST>ST,0.52801436,0.5383424,1.145387,1.2105132,4868,0.5367383,-0.008723915,0.5362602,0.0020822287,1.1850641,-0.039677024,1.1974908,0.013022423,game_type,0.52736294,0.53874314,1.1459911,1.204435,5438,0.53601336,-0.008650422,0.53781134,0.0009317994,1.1876819,-0.041690826,1.2000047,0.004430294,game_type
ST>SV,0.8405657,0.43851733,1.0510646,1.0166385,2,0.6295043,0.21106136,0.38235953,0.056157798,1.2412773,-0.19021273,0.9908335,0.025804996,game_type,-0.53634113,0.66257477,-0.6935645,1.293231,3,0.00042722197,-0.5367684,0.49504495,0.16752982,-0.058745354,-0.63481915,0.96741414,0.32581687,game_type
SV>CH,0.27180308,0.5387648,0.31960085,1.0326248,71,0.36376315,-0.09196007,0.5069748,0.03178996,0.39801654,-0.07841569,0.9249415,0.10768336,game_type,0.2347398,0.5917685,0.26264706,0.99593866,104,0.2281143,0.0066254884,0.4857117,0.10605681,0.28277227,-0.02012521,0.85759985,0.1383388,game_type
SV>CU,0.31766465,0.5878659,0.08101384,1.1702939,12,0.30649218,0.011172473,0.589806,-0.0019401312,0.34531012,-0.2642963,0.94717145,0.22312248,game_type,0.33633617,0.38756156,0.17725608,0.8862565,8,0.17405783,0.16227834,0.45894822,-0.071386665,0.30847365,-0.13121757,0.8351252,0.051131308,game_type
SV>FC,0.54506844,0.69988513,0.9244083,1.3060582,41,0.6022947,-0.05722624,0.5621845,0.13770062,0.89220095,0.03220737,1.099775,0.20628321,game_type,0.34570354,0.43486968,0.6424378,0.8423518,55,0.49573827,-0.15003473,0.40198684,0.03288284,0.6953086,-0.05287081,0.9086496,-0.06629783,game_type
SV>FF,0.86438763,0.7142521,0.84358245,1.0948848,300,0.8100275,0.05436015,0.65559405,0.058658063,0.77611506,0.06746739,1.0381507,0.056734085,game_type,0.7049184,0.6018058,0.6819209,0.96698594,306,0.6666127,0.0383057,0.530176,0.07162982,0.620878,0.061042905,0.86607444,0.1009115,game_type
SV>FS,0.8608504,0.6086725,0.90347177,1.1015295,23,0.9231775,-0.062327087,0.58836997,0.020302534,0.8763749,0.027096868,0.9614309,0.14009857,game_type,0.42697966,0.7552881,0.45758843,1.1549846,51,0.41452163,0.012458026,0.65357095,0.101717174,0.4773858,-0.019797355,1.1624694,-0.0074847937,game_type
SV>SI,0.7200333,0.7381578,0.71031237,1.2534534,153,0.7769307,-0.0568974,0.73239076,0.0057670474,0.7684446,-0.05813223,1.2192883,0.034165025,game_type,0.49494383,0.71885484,0.5576891,1.1615779,246,0.6247566,-0.12981275,0.6967705,0.022084355,0.62400293,-0.06631386,1.1210853,0.040492654,game_type
SV>SL,0.754979,0.63103247,1.1757176,1.1545366,20,0.782182,-0.027202964,0.666145,-0.03511256,1.2799248,-0.10420716,1.2585309,-0.10399425,game_type,0.30719325,0.43721226,0.59460074,1.0809424,17,0.3625661,-0.055372864,0.5047637,-0.067551464,0.6589706,-0.06436986,1.1679858,-0.087043405,game_type
SV>ST,0.9062111,0.50910336,2.1266167,1.1277833,3,0.584499,0.32171208,0.39893097,0.11017239,1.3226025,0.8040142,0.9219504,0.2058329,game_type,0.78366154,0.886455,1.0801888,0.8932891,3,0.013272476,0.7703891,0.660214,0.22624099,0.10083603,0.9793527,1.1645318,-0.27124274,game_type
SV>SV,0.5313674,0.53937787,1.1740377,1.2257545,258,0.5375402,-0.006172776,0.5514816,-0.012103736,1.1980671,-0.024029374,1.2169955,0.008759022,game_type,0.5237193,0.5597823,1.1505141,1.2532612,288,0.5364983,-0.012778997,0.546008,0.013774335,1.197509,-0.046994925,1.219354,0.033907175,game_type
