pair_type,ti_1,ta_1,ti40_1,ta40_1,n_1,null_ti_1,excess_ti_1,null_ta_1,excess_ta_1,null_ti40_1,excess_ti40_1,null_ta40_1,excess_ta40_1,level_1,ti_2,ta_2,ti40_2,ta40_2,n_2,null_ti_2,excess_ti_2,null_ta_2,excess_ta_2,null_ti40_2,excess_ti40_2,null_ta40_2,excess_ta40_2,level_2
FC>KC,1.0559158,0.69654256,1.2957401,1.2726244,238,0.9863485,0.06956732,0.679034,0.017508566,1.270062,0.025678158,1.2184775,0.054146886,game_type,0.9446333,0.75696224,1.1670523,1.3148621,192,0.9288835,0.015749812,0.6355158,0.12144643,1.2195271,-0.052474856,1.1709456,0.14391649,game_type
FC>SI,0.6372721,0.5991556,1.0025146,1.1669873,2290,0.65606356,-0.018791437,0.5938938,0.005261779,1.0580941,-0.055579543,1.1654886,0.0014986992,game_type,0.55583525,0.5994175,0.8866698,1.1586684,2324,0.61168283,-0.055847585,0.59957856,-0.00016105175,0.9855905,-0.0989207,1.1726058,-0.013937354,game_type
FC>SL,0.9483707,0.6459674,1.4166181,1.279123,945,0.89899665,0.049374044,0.61572325,0.030244172,1.3965436,0.020074487,1.2317624,0.04736054,game_type,0.9581529,0.6512763,1.4771923,1.2947063,1013,0.8941238,0.0640291,0.6212302,0.030046105,1.4369977,0.04019463,1.2524693,0.042237043,game_type
FC>ST,0.6359903,0.5788453,0.9175949,1.1369025,1102,0.6208055,0.01518482,0.56374216,0.015103161,0.9553793,-0.037784398,1.1246862,0.01221621,game_type,0.6318563,0.6008524,0.89746934,1.1763749,1133,0.6126072,0.019249141,0.56300795,0.03784442,0.9419851,-0.04451573,1.1188867,0.057488203,game_type
FC>SV,0.6418281,0.49866033,1.0076467,1.1253124,51,0.64593005,-0.004101932,0.49475884,0.0039014816,1.0023642,0.0052825212,1.0268077,0.09850478,game_type,0.3337399,0.49578053,0.5477297,1.0440109,71,0.36730114,-0.03356123,0.4468806,0.04889992,0.5625404,-0.014810741,0.9717465,0.07226437,game_type
FF>CH,1.0407686,0.7233014,1.7047879,1.4175122,6783,0.9888921,0.051876545,0.71182525,0.011476159,1.6651044,0.03968346,1.3847982,0.03271401,game_type,1.0365571,0.71859497,1.6796037,1.3979774,7188,0.98528314,0.051273942,0.7077034,0.010891557,1.6409023,0.038701415,1.3736582,0.024319172,game_type
FF>CU,0.9129784,0.7117731,0.91039866,1.1349728,4214,0.863472,0.049506426,0.67303056,0.038742542,0.883103,0.027295649,1.0768623,0.058110476,game_type,0.8253566,0.6914251,0.8110847,1.1064359,4198,0.80468214,0.020674467,0.65346473,0.03796035,0.8043651,0.0067195892,1.0395153,0.06692064,game_type
FF>FC,0.7326967,0.6094866,1.04675,1.2231215,3093,0.7015114,0.031185329,0.59974813,0.009738445,1.0718623,-0.02511239,1.1981823,0.02493918,game_type,0.7369037,0.6067097,1.0265083,1.2016933,3363,0.7051811,0.031722605,0.5870058,0.019703925,1.0477189,-0.021210551,1.1779484,0.02374494,game_type
FF>FF,0.5204588,0.5375093,1.1360422,1.2158134,30146,0.53115594,-0.010697126,0.5358102,0.0016991496,1.1890228,-0.052980542,1.2002103,0.0156030655,game_type,0.51900685,0.53804773,1.1324488,1.2178053,31762,0.5302895,-0.011282623,0.5358021,0.002245605,1.1857324,-0.053283572,1.2012368,0.016568422,game_type
FF>FS,1.1287534,0.7317315,1.7950546,1.4366367,2360,1.0691084,0.059645057,0.7143309,0.017400563,1.7441021,0.050952435,1.3938758,0.04276085,game_type,1.0911431,0.7384535,1.7873744,1.4259256,2290,1.0469695,0.0441736,0.7254322,0.01302129,1.7471064,0.040267944,1.3976434,0.028282166,game_type
FF>KC,1.0898855,0.7589015,1.1330727,1.2456217,1471,1.024834,0.06505144,0.68993026,0.06897122,1.1257043,0.0073684454,1.1682483,0.077373385,game_type,1.1052682,0.7796105,1.1362522,1.2349728,1460,1.0613589,0.04390931,0.701952,0.077658534,1.1162944,0.01995778,1.1521587,0.0828141,game_type
FF>SI,0.71696097,0.6039234,1.3065301,1.2564849,3732,0.6952852,0.021675766,0.59202915,0.011894226,1.3157519,-0.009221792,1.234598,0.021886826,game_type,0.7246808,0.59550816,1.3097149,1.256232,3687,0.69584346,0.028837323,0.595712,-0.00020384789,1.3099507,-0.00023579597,1.2469138,0.009318233,game_type
FF>SL,1.0624279,0.69835037,1.3708336,1.3003734,9024,1.0019802,0.060447693,0.6724625,0.025887847,1.3353294,0.035504222,1.2500478,0.050325632,game_type,1.0399956,0.69899046,1.3452891,1.3000151,9679,0.9885847,0.051410854,0.6665672,0.032423258,1.324027,0.021262169,1.2448288,0.05518627,game_type
FF>ST,0.7867322,0.68131304,0.88683754,1.1046259,3555,0.74547464,0.04125756,0.61628747,0.06502557,0.86536455,0.02147299,1.042104,0.062521935,game_type,0.7669355,0.64442885,0.8577523,1.1034905,3798,0.7247868,0.04214871,0.6076998,0.036729038,0.83313096,0.024621367,1.0361059,0.0673846,game_type
